months,Contact Rate,Infected,Infection Rate,Infectivity,Population,Recovered,Recovery Rate,Recovery Time,Susceptible
25.5,50,1.30146633503,0.00526836760893,0.1,2500,997.674521415,0.433822111676,3,2.02401224954
25.6,50,1.25861096062,0.00509356183837,0.1,2500,997.717903627,0.419536986873,3,2.02348541278
25.7,50,1.21716661812,0.00492459785069,0.1,2500,997.759857325,0.405722206039,3,2.0229760566
25.8,50,1.1770868573,0.00476127772182,0.1,2500,997.800429546,0.392362285766,3,2.02248359682
25.9,50,1.13832675649,0.00460341040768,0.1,2500,997.839665774,0.379442252165,3,2.02200746904
26,50,1.10084287232,0.00445081149383,0.1,2500,997.87761,0.366947624106,3,2.021547128
26.1,50,1.06459319106,0.00430330295502,0.1,2500,997.914304762,0.354864397019,3,2.02110204685
26.2,50,1.02953708165,0.00416071292408,0.1,2500,997.949791202,0.343179027217,3,2.02067171656
26.3,50,0.995635250221,0.00402287546977,0.1,2500,997.984109105,0.33187841674,3,2.02025564526
26.4,50,0.962849696094,0.00388963038327,0.1,2500,998.017296946,0.320949898698,3,2.01985335772
26.5,50,0.931143669262,0.00376082297281,0.1,2500,998.049391936,0.310381223087,3,2.01946439468
26.6,50,0.900481629251,0.00363630386627,0.1,2500,998.080430058,0.300160543084,3,2.01908831238
26.7,50,0.870829205329,0.0035159288212,0.1,2500,998.110446113,0.290276401776,3,2.018724682
26.8,50,0.842153158034,0.00339955854217,0.1,2500,998.139473753,0.280717719345,3,2.01837308911
26.9,50,0.814421341954,0.00328705850499,0.1,2500,998.167545525,0.271473780651,3,2.01803313326
27,50,0.787602669739,0.00317829878754,0.1,2500,998.194692903,0.262534223246,3,2.01770442741
27.1,50,0.761667077293,0.00307315390702,0.1,2500,998.220946325,0.253889025764,3,2.01738659753
27.2,50,0.736585490107,0.00297150266324,0.1,2500,998.246335228,0.245528496702,3,2.01707928214
27.3,50,0.712329790703,0.00287322798778,0.1,2500,998.270888077,0.237443263568,3,2.01678213187
27.4,50,0.688872787145,0.00277821679878,0.1,2500,998.294632404,0.229624262382,3,2.01649480907
27.5,50,0.666188182587,0.00268635986107,0.1,2500,998.31759483,0.222062727529,3,2.01621698739
27.6,50,0.64425054582,0.00259755165148,0.1,2500,998.339801103,0.21475018194,3,2.01594835141
27.7,50,0.623035282791,0.00251169022916,0.1,2500,998.361276121,0.207678427597,3,2.01568859624
27.8,50,0.602518609055,0.00242867711057,0.1,2500,998.382043964,0.200839536352,3,2.01543742722
27.9,50,0.582677523131,0.00234841714912,0.1,2500,998.402127917,0.194225841044,3,2.01519455951
28,50,0.563489780741,0.00227081841916,0.1,2500,998.421550501,0.187829926914,3,2.01495971779
28.1,50,0.544933869892,0.00219579210421,0.1,2500,998.440333494,0.181644623297,3,2.01473263595
28.2,50,0.526988986772,0.00212325238922,0.1,2500,998.458497956,0.175662995591,3,2.01451305674
28.3,50,0.509635012452,0.00205311635676,0.1,2500,998.476064256,0.169878337484,3,2.0143007315
28.4,50,0.492852490339,0.00198530388693,0.1,2500,998.49305209,0.164284163446,3,2.01409541987
28.5,50,0.476622604383,0.00191973756085,0.1,2500,998.509480506,0.158874201461,3,2.01389688948
28.6,50,0.460927157993,0.00185634256768,0.1,2500,998.525367926,0.153642385998,3,2.01370491572
28.7,50,0.44574855365,0.00179504661492,0.1,2500,998.540732165,0.148582851217,3,2.01351928147
28.8,50,0.43106977319,0.00173577984188,0.1,2500,998.55559045,0.143689924397,3,2.0133397768
28.9,50,0.416874358735,0.00167847473632,0.1,2500,998.569959442,0.138958119578,3,2.01316619882
29,50,0.403146394251,0.00162306605396,0.1,2500,998.583855254,0.134382131417,3,2.01299835135
29.1,50,0.389870487714,0.0015694907409,0.1,2500,998.597293468,0.129956829238,3,2.01283604474
29.2,50,0.377031753865,0.00151768785881,0.1,2500,998.61028915,0.125677251288,3,2.01267909567
29.3,50,0.364615797522,0.00146759851265,0.1,2500,998.622856876,0.121538599174,3,2.01252732688
29.4,50,0.352608697455,0.00141916578105,0.1,2500,998.635010736,0.117536232485,3,2.01238056703
29.5,50,0.340996990785,0.00137233464909,0.1,2500,998.646764359,0.113665663595,3,2.01223865045
29.6,50,0.32976765789,0.00132705194344,0.1,2500,998.658130925,0.10992255263,3,2.01210141699
29.7,50,0.318908107822,0.00128326626975,0.1,2500,998.66912318,0.106302702607,3,2.01196871179
29.8,50,0.308406164188,0.0012409279523,0.1,2500,998.679753451,0.102802054729,3,2.01184038517
29.9,50,0.29825005151,0.00119998897565,0.1,2500,998.690033656,0.0994166838368,3,2.01171629237
30,50,0.288428382024,0.00116040292842,0.1,2500,998.699975325,0.0961427940081,3,2.01159629347
30.1,50,0.278930142916,0.00112212494899,0.1,2500,998.709589604,0.0929767143054,3,2.01148025318
30.2,50,0.269744683981,0.00108511167301,0.1,2500,998.718887275,0.0899148946602,3,2.01136804068
30.3,50,0.260861705682,0.00104932118288,0.1,2500,998.727878765,0.086953901894,3,2.01125952952
30.4,50,0.252271247611,0.00101471295885,0.1,2500,998.736574155,0.0840904158703,3,2.0111545974
30.5,50,0.24396367732,0.000981247831859,0.1,2500,998.744983197,0.0813212257732,3,2.0110531261
30.6,50,0.235929679526,0.000948887938004,0.1,2500,998.753115319,0.0786432265085,3,2.01095500132
30.7,50,0.228160245668,0.000917596674558,0.1,2500,998.760979642,0.0760534152228,3,2.01086011253
30.8,50,0.220646663814,0.000887338657521,0.1,2500,998.768584983,0.0735488879379,3,2.01076835286
30.9,50,0.213380508886,0.000858079680613,0.1,2500,998.775939872,0.0711268362952,3,2.01067961899
31,50,0.206353633224,0.000829786675686,0.1,2500,998.783052556,0.0687845444081,3,2.01059381103
31.1,50,0.199558157451,0.000802427674481,0.1,2500,998.78993101,0.066519385817,3,2.01051083236
31.2,50,0.192986461637,0.000775971771702,0.1,2500,998.796582949,0.0643288205456,3,2.01043058959
31.3,50,0.186631176759,0.000750389089351,0.1,2500,998.803015831,0.0622103922531,3,2.01035299241
31.4,50,0.180485176443,0.000725650742275,0.1,2500,998.80923687,0.060161725481,3,2.0102779535
31.5,50,0.174541568969,0.000701728804893,0.1,2500,998.815253043,0.0581805229897,3,2.01020538843
31.6,50,0.168793689551,0.000678596279056,0.1,2500,998.821071095,0.0562645631835,3,2.01013521555
31.7,50,0.16323509286,0.000656227062998,0.1,2500,998.826697551,0.05441169762,3,2.01006735592
31.8,50,0.157859545804,0.000634595921343,0.1,2500,998.832138721,0.0526198486015,3,2.01000173322
31.9,50,0.152661020536,0.000613678456133,0.1,2500,998.837400706,0.0508870068455,3,2.00993827362
32,50,0.147633687697,0.000593451078836,0.1,2500,998.842489407,0.0492112292325,3,2.00987690578
32.1,50,0.142771909882,0.000573890983303,0.1,2500,998.847410529,0.0475906366274,3,2.00981756067
32.2,50,0.138070235318,0.000554976119642,0.1,2500,998.852169593,0.0460234117726,3,2.00976017157
32.3,50,0.133523391752,0.000536685168975,0.1,2500,998.856771934,0.0445077972508,3,2.00970467396
32.4,50,0.129126280544,0.000518997519049,0.1,2500,998.861222714,0.0430420935147,3,2.00965100544
